display  D   display_settings.c:212  debug_display_settings           [   0.15145] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.15156] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.15165] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.15177] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.15186] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.15197] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.15206] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.15217] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.15226] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.15237] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.15246] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.15257] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.15266] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.15278] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.15288] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.15299] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.15309] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.15320] Single Buffer requirement not met.
